Book Name,Author,Image Link,Rating,Customer Rating,Price
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"https://images-eu.ssl-images-amazon.com/images/I/61fp0RQR+9L._AC_UL302_SR302,200_.jpg",4.7 out of 5 stars,"5,793",₹215.00
Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,"https://images-eu.ssl-images-amazon.com/images/I/7175YpTSa7L._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,639,₹88.65
"2022 UPDATED Sank Magic Practice Copybook, (4 BOOK + 1 PEN + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic ",SHNMN,"https://images-eu.ssl-images-amazon.com/images/I/818-23NWvIL._AC_UL302_SR302,200_.jpg",4.7 out of 5 stars,586,₹299.00
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,"https://images-eu.ssl-images-amazon.com/images/I/81SpdjrviCL._AC_UL302_SR302,200_.jpg",4.4 out of 5 stars,"1,639",₹139.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by Sudha Mu",Sudha Murty,"https://images-eu.ssl-images-amazon.com/images/I/81UhCMXi8fL._AC_UL302_SR302,200_.jpg",4.7 out of 5 stars,"6,248",₹187.16
Wren & Martin High School English Grammar And Composition Book (Regular Edition),"Rao N,D,V,Prasada","https://images-eu.ssl-images-amazon.com/images/I/617ni21vHsL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"8,917",₹313.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,"https://images-eu.ssl-images-amazon.com/images/I/51oHUvYzbsL._AC_UL302_SR302,200_.jpg",4.6 out of 5 stars,"10,561",₹146.00
Very First Sight Words Sentences Level 1,Dreamland Publications,"https://images-eu.ssl-images-amazon.com/images/I/91+36GLYWYL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,"9,514",₹120.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,"https://images-eu.ssl-images-amazon.com/images/I/81j0Jii6mZL._AC_UL302_SR302,200_.jpg",4.3 out of 5 stars,"15,160",₹237.00
Mathematics for Class 9 - CBSE - by R.D. Sharma Examination 2022-23,R.D. Sharma,"https://images-eu.ssl-images-amazon.com/images/I/91JF20MpJmL._AC_UL302_SR302,200_.jpg",4.5 out of 5 stars,141,₹485.00
